ticker,sector,revenue,revenue_growth,total_debt,total_cash,gross_margin,ebitda_margin
MMM,Industrials,24824999936,0.035,13659000000.0,5600000000.0,0.40978850780368437,0.24817723874655964
AOS,Industrials,3830099968,0.044,216700000.0,239600000.0,0.38513355899957546,0.2047727314045919
ABT,Healthcare,43842998272,0.069,15021000000.0,7616000000.0,0.5625983699146953,0.2679333253424443
ABBV,Healthcare,59643998208,0.091,67144000000.0,5524000000.0,0.7146067070044803,0.4949198651816846
ACN,Technology,69672976384,0.073,8182866000.0,11478729000.0,0.319139519308755,0.17542714863559114
ADBE,Technology,23181000704,0.107,6056000000.0,7613000000.0,0.891376489904273,0.3908373007571089
AMD,Technology,32027000832,0.356,2212000000.0,3787000000.0,0.5145658217092215,0.1890280067046148
AES,Utilities,12094000128,0.019,29018000000.0,1524000000.0,0.17264759202092841,0.26509013511397905
AFL,Financial Services,17700999168,0.607,7498000000.0,6229000000.0,0.48172422263118203,0.30269478446653075
A,Healthcare,6947999744,0.094,3390000000.0,1329000000.0,0.5243235748743286,0.2543178078735404
APD,Basic Materials,12037300224,-0.006,18406200000.0,1856000000.0,0.3141318981527797,0.062439250165203825
ABNB,Consumer Cyclical,11943000064,0.097,2294000000.0,6864000000.0,0.8303608496070423,0.23118143860038415
AKAM,Technology,4133201920,0.05,4634605000.0,517707000.0,0.5912689869262424,0.28397548020107377
ALB,Basic Materials,4946415104,-0.035,3615679000.0,1192230000.0,0.12388730082609743,0.14088465471417094
ARE,Real Estate,3058394880,-0.05,12751501000.0,552146000.0,0.6957574608547605,0.6404529476586097
ALGN,Healthcare,3982621952,0.018,119277000.0,1043887000.0,0.6925480473020804,0.2036065711918217
ALLE,Industrials,3979699968,0.107,1999500000.0,503800000.0,0.4511646723213482,0.2416262551780386
LNT,Utilities,4273999872,0.119,10406000000.0,81000000.0,0.46888162377558446,0.4363593804057091
ALL,Financial Services,66845999104,0.038,8085000000.0,704000000.0,0.28203631362691167,0.15056997550953982
GOOGL,Communication Services,385476001792,0.159,25461000000.0,23466000000.0,0.5917229594465867,0.3766097060183135
GOOG,Communication Services,385476001792,0.159,25461000000.0,23466000000.0,0.5917229594465867,0.3766097060183135
MO,Consumer Defensive,20166000640,-0.017,24926000000.0,3127000000.0,0.7218585350595328,0.6252107309265661
AMZN,Consumer Cyclical,691330023424,0.134,130900000000.0,78779000000.0,0.5004585330034272,0.20206991106810698
AMCR,Consumer Cyclical,17400999936,0.713,15008000000.0,827000000.0,0.18958680973125427,0.1433825684257505
AEE,Utilities,8634999808,0.248,18722000000.0,7000000.0,0.4709901742246802,0.41053850779657136
AEP,Utilities,21257000960,0.109,45762800000.0,202900000.0,0.4842169509879911,0.41197251862945766
AXP,Financial Services,65294000128,0.122,51089000000.0,40552000000.0,0.6413453102261739,0.0
AIG,Financial Services,27120001024,-0.041,8922000000.0,1302000000.0,0.3401179623790268,0.30660027632895714
